L1,L2,L3,R1,R2,R3,D1,1X,1Y,1Z,2X,2Y,2Z
0,0,-4,29,3,-5,8191.0,1469.0,-427.0,1241.0,1526.0,-354.0,-9.0
0,0,37,21,15,-5,8191.0,1596.0,-623.0,-442.0,845.0,-5.0,329.0
0,0,98,-27,-1,-5,8191.0,990.0,-75.0,760.0,926.0,-162.0,382.0
1,0,67,-29,-2,-5,8191.0,75.0,-207.0,810.0,920.0,-129.0,390.0
7,1,21,-30,-3,-5,8191.0,330.0,-311.0,645.0,872.0,-314.0,395.0
8,2,23,-30,-2,-5,8191.0,813.0,-324.0,627.0,777.0,-230.0,351.0
7,2,58,-29,-2,-5,8191.0,894.0,-399.0,605.0,764.0,-269.0,272.0
26,8,10,-29,-2,-5,8191.0,849.0,226.0,511.0,1063.0,-321.0,145.0
83,23,-14,-29,-2,-5,8191.0,1820.0,-359.0,372.0,1751.0,-422.0,99.0
18,19,-16,-17,-3,-4,8191.0,997.0,-218.0,227.0,739.0,-245.0,398.0
1,0,-18,-19,-2,1,8191.0,938.0,-316.0,244.0,986.0,-108.0,308.0
0,0,-18,-19,-2,2,8191.0,970.0,-133.0,199.0,830.0,-267.0,331.0
0,0,-18,-16,-2,0,8191.0,988.0,-310.0,103.0,897.0,-132.0,330.0
0,0,-14,-14,-3,0,8191.0,914.0,-480.0,252.0,832.0,-125.0,393.0
0,0,-15,-13,-2,-2,163.0,355.0,-250.0,834.0,388.0,-79.0,-220.0
0,0,0,11,0,-5,8191.0,867.0,-338.0,1403.0,1544.0,-94.0,145.0
0,0,34,47,8,-5,1162.0,1641.0,-561.0,-127.0,1199.0,-31.0,139.0
0,0,65,-18,0,-5,1253.0,1382.0,-87.0,-243.0,650.0,-302.0,670.0
1,0,85,-28,-2,-5,1253.0,-5.0,-248.0,958.0,997.0,-232.0,392.0
1,0,78,-29,-2,-5,1253.0,398.0,-85.0,675.0,780.0,-302.0,372.0
2,0,75,-31,-2,-5,1227.0,575.0,-472.0,728.0,839.0,-235.0,264.0
2,0,93,-30,-2,-5,8191.0,859.0,-344.0,774.0,775.0,-244.0,287.0
20,4,9,-30,-2,-5,118.0,454.0,-633.0,389.0,887.0,-151.0,118.0
78,26,-14,-30,-2,-4,8191.0,968.0,-58.0,885.0,1474.0,-292.0,-79.0
31,32,-16,-27,-3,-5,8191.0,977.0,-388.0,356.0,884.0,-745.0,242.0
1,0,-17,-16,-2,-3,8191.0,1015.0,-274.0,170.0,682.0,-205.0,559.0
0,0,-17,-18,-3,-2,8191.0,1000.0,-296.0,71.0,984.0,-446.0,432.0
0,0,-17,-15,-2,1,8191.0,945.0,-267.0,184.0,919.0,-109.0,404.0
0,0,-14,-16,-2,3,8191.0,1052.0,-424.0,146.0,816.0,-120.0,228.0
0,0,-14,-14,-3,-2,8191.0,307.0,-99.0,809.0,1043.0,-211.0,87.0
0,0,42,29,1,-5,8191.0,2260.0,-589.0,-489.0,1553.0,-366.0,275.0
0,0,107,-15,0,-5,8191.0,263.0,156.0,273.0,644.0,-126.0,425.0
0,0,77,-29,-2,-5,1198.0,180.0,-34.0,936.0,894.0,-357.0,313.0
7,1,42,-30,-2,-4,8191.0,467.0,-354.0,804.0,907.0,-343.0,417.0
7,1,31,-29,-2,-5,8191.0,642.0,-514.0,431.0,607.0,-263.0,255.0
4,0,102,-30,-2,-5,8191.0,906.0,-452.0,338.0,728.0,-105.0,32.0
25,9,1,-30,-3,-5,8191.0,1521.0,-564.0,419.0,1008.0,-451.0,128.0
56,26,-14,-30,-2,-4,8191.0,2747.0,-937.0,-1177.0,1443.0,-568.0,600.0
18,13,-16,-22,-2,0,8191.0,1159.0,-171.0,351.0,873.0,-458.0,450.0
