Time,L1,L2,L3,R1,R2,R3,D1,1X,1Y,1Z,2X,2Y,2Z
10:33:51.491,0,1,-34,11,-5,-1,33.0,1602.0,692.0,-323.0,716.0,1420.0,854.0
10:33:51.666,1,0,4,-1,-14,-1,40.0,1028.0,-696.0,308.0,-180.0,833.0,1136.0
10:33:51.828,0,-1,11,-4,-17,-1,53.0,845.0,-59.0,-28.0,-43.0,123.0,783.0
10:33:51.992,5,1,-31,-4,-17,-1,53.0,1447.0,828.0,-49.0,154.0,377.0,743.0
10:33:52.093,21,3,-42,-5,-19,0,53.0,688.0,922.0,17.0,181.0,496.0,1499.0
10:33:52.245,-2,-7,-54,-2,-6,3,48.0,787.0,909.0,-311.0,-34.0,-374.0,699.0
10:33:52.415,-1,-7,-50,-1,-11,1,38.0,569.0,863.0,-581.0,-42.0,572.0,203.0
10:33:52.605,0,-1,-49,11,-8,0,38.0,1612.0,677.0,-95.0,-13.0,1096.0,768.0
10:33:52.777,1,0,13,-1,-11,0,38.0,677.0,-712.0,93.0,-112.0,-503.0,2105.0
10:33:52.848,-1,-4,76,-6,-21,-1,53.0,1696.0,2763.0,-786.0,214.0,525.0,663.0
10:33:53.015,3,-1,-25,-5,-20,-1,56.0,494.0,674.0,-63.0,450.0,-459.0,1016.0
10:33:53.195,16,0,-45,-5,-19,-2,40.0,667.0,718.0,350.0,405.0,636.0,1170.0
10:33:53.360,1,0,-54,-2,-2,0,41.0,1760.0,1444.0,-508.0,-255.0,1166.0,699.0
10:33:53.464,-1,-5,-52,1,-5,1,36.0,846.0,136.0,-592.0,-64.0,670.0,68.0
10:33:53.633,-2,-7,-48,1,-11,-2,38.0,594.0,728.0,-589.0,-69.0,154.0,-56.0
10:33:53.795,0,-4,-49,12,-6,-1,37.0,1499.0,1057.0,-139.0,788.0,719.0,1722.0
10:33:53.958,1,1,6,-3,-17,-1,49.0,1133.0,-52.0,-330.0,-252.0,-43.0,1159.0
10:33:54.133,0,-2,27,-5,-18,-1,51.0,1490.0,482.0,-112.0,-44.0,106.0,640.0
10:33:54.216,3,-3,-10,-5,-21,-1,55.0,674.0,926.0,-288.0,272.0,242.0,869.0
10:33:54.406,23,3,-41,-5,-15,-1,40.0,1305.0,677.0,116.0,-346.0,602.0,2289.0
10:33:54.496,-1,-4,-53,-5,-10,4,42.0,665.0,883.0,-359.0,114.0,-502.0,680.0
10:33:54.651,0,-4,-51,-4,-11,3,36.0,672.0,677.0,-419.0,-88.0,981.0,644.0
10:33:54.817,-2,-4,-45,8,-7,-1,36.0,1250.0,351.0,-105.0,-433.0,1794.0,357.0
10:33:54.993,0,2,-21,5,-4,-1,36.0,1404.0,-24.0,-393.0,-342.0,-954.0,1949.0
10:33:55.098,-2,-3,54,-5,-19,-1,59.0,984.0,-589.0,-218.0,254.0,516.0,1123.0
10:33:55.335,0,-1,27,-6,-19,0,43.0,1357.0,344.0,-141.0,-8.0,416.0,702.0
10:33:55.414,7,4,-37,-7,-17,-1,34.0,850.0,697.0,-436.0,370.0,469.0,729.0
10:33:55.597,10,7,-50,-5,-9,0,24.0,179.0,609.0,-28.0,99.0,425.0,1311.0
10:33:55.775,-3,-7,-55,0,-8,3,39.0,909.0,256.0,-488.0,-11.0,-618.0,986.0
10:33:55.852,-2,-8,-48,-3,-15,2,37.0,477.0,729.0,-458.0,-196.0,490.0,-3.0
10:33:56.016,0,-1,-40,15,-9,-1,47.0,1918.0,880.0,255.0,668.0,1142.0,1913.0
10:33:56.189,1,3,-3,-5,-20,-1,51.0,1285.0,-183.0,-67.0,198.0,942.0,548.0
10:33:56.359,2,4,-28,-5,-18,-3,58.0,787.0,74.0,-474.0,228.0,-218.0,641.0
10:33:56.448,7,1,-38,-6,-18,0,33.0,2373.0,2649.0,865.0,500.0,1429.0,595.0
10:33:56.632,6,5,-52,-4,-3,0,41.0,433.0,742.0,-606.0,-499.0,-215.0,1900.0
10:33:56.798,-1,-7,-51,0,-7,3,37.0,832.0,735.0,-63.0,62.0,1500.0,1585.0
10:33:56.976,-1,-5,-50,-2,-17,1,36.0,691.0,1091.0,-655.0,-207.0,-42.0,466.0
10:33:57.055,0,0,-40,17,-4,-2,34.0,2034.0,655.0,-181.0,636.0,2106.0,1140.0
10:33:57.221,0,0,36,-4,-22,-1,49.0,1174.0,51.0,318.0,-93.0,311.0,967.0
10:33:57.413,1,0,14,-5,-19,-2,53.0,1267.0,4.0,-8.0,-93.0,244.0,779.0
10:33:57.493,1,-2,29,-4,-19,-1,55.0,392.0,347.0,-259.0,182.0,473.0,193.0
10:33:57.666,13,4,-43,-5,-18,-1,41.0,570.0,171.0,252.0,84.0,602.0,1003.0
10:33:57.813,0,-4,-54,-3,-5,1,44.0,618.0,779.0,49.0,-343.0,-409.0,1221.0
10:33:57.993,-1,-7,-51,-2,-9,2,38.0,830.0,515.0,-362.0,-152.0,214.0,268.0
10:33:58.093,-2,-5,-49,5,-9,-1,43.0,679.0,49.0,245.0,-196.0,182.0,221.0
10:33:58.246,0,-4,-51,8,-5,-2,46.0,1848.0,508.0,-548.0,578.0,1046.0,974.0
10:33:58.413,2,5,-20,-5,-22,-1,57.0,1576.0,-2144.0,832.0,-171.0,860.0,232.0
10:33:58.592,2,-1,-10,-2,-15,0,57.0,1466.0,-156.0,-723.0,170.0,-120.0,73.0
10:33:58.774,6,3,-42,-5,-18,-1,47.0,342.0,273.0,-566.0,205.0,-507.0,1135.0
10:33:58.850,8,6,-51,-5,-11,4,48.0,893.0,938.0,-809.0,-489.0,-784.0,2635.0
10:33:59.018,-1,-5,-52,-4,-13,8,35.0,987.0,116.0,-572.0,-399.0,743.0,1536.0
10:33:59.196,-1,-6,-48,-4,-16,8,38.0,473.0,425.0,-486.0,29.0,507.0,738.0
10:33:59.365,-2,-7,-47,4,-3,0,41.0,1214.0,465.0,-235.0,4.0,160.0,877.0
10:33:59.464,0,2,-42,7,-1,-1,41.0,1956.0,-279.0,-513.0,-431.0,-230.0,1546.0
10:33:59.626,2,4,-25,-4,-19,-1,58.0,1354.0,-800.0,186.0,-192.0,61.0,938.0
10:33:59.795,3,1,-27,-4,-17,0,58.0,1952.0,623.0,-37.0,-1.0,-56.0,606.0
10:33:59.970,6,1,-36,-4,-20,-1,34.0,762.0,1183.0,-627.0,-407.0,-1001.0,2521.0
10:34:00.063,8,0,-52,-5,-19,1,34.0,260.0,628.0,-1196.0,-308.0,-456.0,1909.0
10:34:00.219,-1,-7,-53,-3,-11,6,40.0,919.0,620.0,97.0,-503.0,707.0,1274.0
10:34:00.391,-2,-6,-48,0,-10,1,39.0,626.0,874.0,-228.0,-215.0,-444.0,517.0
10:34:00.572,-1,-4,-48,16,-9,-1,40.0,1069.0,811.0,-26.0,711.0,1405.0,1685.0
10:34:00.670,1,1,-11,-1,-12,-1,58.0,508.0,-890.0,105.0,83.0,-355.0,1407.0
10:34:00.820,0,0,14,-5,-21,-1,58.0,1988.0,-1344.0,1311.0,20.0,-201.0,1082.0
10:34:01.008,2,0,-18,-7,-21,-1,59.0,753.0,1432.0,-432.0,377.0,412.0,1307.0
10:34:01.166,6,3,-49,-5,-7,0,42.0,1218.0,913.0,-743.0,48.0,1563.0,1537.0
10:34:01.332,-1,-6,-52,-3,-10,5,42.0,871.0,701.0,-282.0,-199.0,-76.0,1248.0
10:34:01.426,-1,-6,-45,-1,-13,2,41.0,741.0,1090.0,-497.0,-119.0,300.0,40.0
10:34:01.585,-2,-4,-46,14,-1,-1,38.0,1533.0,943.0,63.0,-230.0,1947.0,991.0
10:34:01.756,1,4,16,-4,-15,0,48.0,610.0,24.0,6.0,-111.0,-54.0,1250.0
10:34:01.939,-1,-1,46,-7,-22,-1,55.0,1267.0,2.0,58.0,-80.0,-20.0,673.0
10:34:02.034,0,-3,13,-6,-20,-1,58.0,950.0,546.0,-420.0,154.0,403.0,878.0
